Product,Recipe
CLU03CH1208C4-00B,SDR1
CLU03CH1208C4-00E,SDR1
CLU03CH1210C4-00A,SDR1
CLU03CH1210C4-000,SDR1
CLU03CH1210C4-00B,SDR1
CLU03CH1210C4-00E,SDR1
CLU03CH2804C4-00E,SDR1
CLU03CH2804C4-000,SDR1
EL0406-1205C4-N0-00A-401A,SDR1
EL0406-1205C4-N0-000-401A,SDR1
EL0406-1205C4-N0-00E-401A,SDR1
CLU04CH1211C4-00E,SDR1
CLU04CH1211C4-00A,SDR1
CLU04CH1211C4-000,SDR1
CLU04CH1211C4-00I,SDR1
CLU04CH1211C4-00B,SDR1
CLU04CH1212C4-00A,SDR1
CLU04CH1212C4-000,SDR1
CLU04CH1212C4-00E,SDR1
CLU04CH1212C4-00B,SDR1
CL0406-1808C4-12-000-401A,SDR1
CLU04CH1312C4-000,SDR1
CLU04CH1312C4-00E,SDR1
CLU04CH1312C4-00B,SDR1
CU0406-1512C4-11-000-401A,SDR1
CLU04DH3206C4-00A-3,SDR1
CLU04DH3206C4-000-3,SDR1
CLU04DH3206C4-00B-3,SDR1
CLU04CH2209C4-00A,SDR1
CLU04CH2209C4-000,SDR1
CLU04CH1812C4-00E,SDR1
CLU04CH1812C4-00A,SDR1
CLU04CH1812C4-000,SDR1
CLU04CH1812C4-00I,SDR1
CLU04CH1812C4-00B,SDR1
CLU04DH3907C4-00A-3,SDR1
CLU04DH3907C4-000-3,SDR1
CLU04DH3907C4-00B-3,SDR1
CLU04CH1818C4-00A,SDR1
CLU04CH1818C4-000,SDR1
CLU04CH1818C4-00E,SDR1
CLU04CH1818C4-00B,SDR1
CLU05DH5805C4-00A-4,SDR1
CLU05DH5805C4-000-4,SDR1
CLU05DH5805C4-00B-4,SDR1
CLU05DH7505C4-00A-5,SDR1
CLU05DH7505C4-000-5,SDR1
CLU05DH7505C4-00B-5,SDR1
CLU05CH1825C4-00A,SDR1
CLU05CH1825C4-000,SDR1
CLU05CH1825C4-00E,SDR1
CLU05CH1825C4-00B,SDR1
CLU05CH3618C4-00A,SDR1
CLU05CH3618C4-000,SDR1
CLU05CH3618C4-00E,SDR1
CLU05CH3618C4-00B,SDR1
CLU04CH1216C4-00A,SDR1
CLU04CH1216C4-000,SDR1
CLU04CH1216C4-00E,SDR1
CLU04CH1216C4-00B,SDR1
CLU04CH1216C4-00A-U,SDR1
CLU04CH1216C4-000-U,SDR1
CLU04CH1216C4-00E-U,SDR1
CLU04CH1216C4-00B-U,SDR1
EL0306-1005C4-N0-00A-401A,SDR1
EL0306-1005C4-N0-00E-401A,SDR1
EL0306-1005C4-N0-000-401A,SDR1
EL0306-1007C4-N0-00A-401A,SDR1
EL0306-1007C4-N0-00E-401A,SDR1
EL0306-1007C4-N0-000-401A,SDR1
ENU03CH1010C4-00A,SDR1
ENU03CH1010C4-00E,SDR1
ENU03CH1010C4-000,SDR1
ENU58CH2013C4-000,SDR1
ENU58CH2013C4-00A,SDR1
ENU58CH2013C4-00E,SDR1
EL5806-1814C4-N0-00A-401A,SDR1
EL5806-2008C4-N0-000-401A,SDR1
EL5806-2008C4-N0-00A-401A,SDR1
EL5806-2008C4-N0-00E-401A,SDR1
EL5806-2006C4-N0-000-401A,SDR1
EL5806-2006C4-N0-00A-401A,SDR1
EL5806-2006C4-N0-00E-401A,SDR1
ENU58CH2005C4-000,SDR1
ENU58CH2005C4-00A,SDR1
ENU58CH2005C4-00E,SDR1
EL5806-1208C4-N0-00A-401A,SDR1
ENU58CH0604C4-000,SDR1
ENU58CH0604C4-00A,SDR1
ENU58CH0604C4-00E,SDR1
MLL04CH1818C4-0AF,SDR1
MLL05CH1825C4-0AF,SDR1
MLL02CH1201C4-0AB,SDR1
MLL02CH1202C4-0AB,SDR1
MLL02CH2101C4-0AB,SDR1
MLL02CH1202C4-0AA,SDR1
MLL02CH1204C4-0AA,SDR1
MLL02CH1203C4-0C0,SDR1
MLL02CH1204C4-0C0,SDR1
ENU50CH4530C4-00A,SDR1
ENU50SH4530C4-00A,SDR1
CL0506-1634C4-12-000-601A,SDR1
MLL04CH1818C4W0AF,SDR1
MLL05CH1825C4W0AF,SDR1
MLL02CH1201C4W0AB,SDR1
MLL02CH1202C4W0AB,SDR1
MLL02CH2101C4W0AB,SDR1
MLL02CH1202C4W0AA,SDR1
MLL02CH1204C4W0AA,SDR1
MLL02CH1203C4W0C0,SDR1
MLL02CH1204C4W0C0,SDR1
MLL02CH1204C4W0DB,SDR1
EL04J6-1515C4-N0-000-601A,SDR1
EL05J6-4506C4-N0-00A-601A,SDR1
EL05J6-4506C4-N0-00E-601A,SDR1
EL05J6-4506C4-N0-000-601A,SDR1
EL05J6-4509C4-N0-00A-601A,SDR1
EL05J6-4509C4-N0-00E-601A,SDR1
EL05J6-4509C4-N0-000-601A,SDR1
