Model_NM	QcParam_NO	Material_CD	Parameter_MAX	Parameter_MIN	Parameter_VAL	QcLine_MAX	QcLine_MIN	AimLine_VAL	AimRate_VAL	DS_FG	Del_FG	UpdUser_CD	LastUpd_DT	Equipment_NO	InnerUpperLimit	InnerLowerLimit	ParamGetUpperCond	ParamGetLowerCond	ResinGroup_CD
AI	194	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	226	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	246	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	247	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	248	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	507	NFSL757G120655          	2.5000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	508	NFSL757G120655          	2.5000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	514	NFSL757G120655          	4.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	515	NFSL757G120655          	5.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	521	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	522	NFSL757G120655          	4.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
